Client_ID,Industry,Contract_Length,Renewal_Status,Monthly_Marketing_Spend,Campaign_Count,Leads,Conversions,Conversion_Rate,Website_Visits,Social_Engagement,Campaign_Performance,Ad_Spend,ROAS,Client_Feedback_Score,Complaint_Count,Avg_Response_Time,Monthly_Revenue,Client_Lifetime_Value,Performance_Change_3M,Churn
CL10001,Travel,24,Renewed,83614.3,10,688,67,9.74,27605,9579,62.03,48968.91,2.59,7.62,5,17.38,245816.93,3433287.23,-7.83,0
CL10002,Education,18,Renewed,77630.14,4,3238,561,17.33,1377,9925,92.67,37122.89,3.72,5.9,8,34.92,276404.4,6879832.11,14.85,1
CL10003,Technology,12,Renewed,59485.25,20,9195,1323,14.39,48853,3026,95.0,40569.86,3.29,8.78,1,4.76,116244.05,2368732.07,16.8,0
CL10004,Travel,24,Renewed,95824.48,6,6763,1185,17.52,18752,7382,90.81,70706.76,3.12,7.1,1,9.61,380917.39,7737014.51,17.72,0
CL10005,Finance,24,Renewed,24045.08,11,4186,589,14.07,31834,15735,88.56,11726.69,3.87,6.85,6,28.7,74218.52,865145.74,18.93,0
CL10006,Retail,12,Renewed,15380.1,18,8631,451,5.23,19549,15947,64.08,10820.01,2.73,8.11,1,27.32,60469.24,857778.32,1.21,0
CL10007,Technology,36,Renewed,86126.39,16,4370,153,3.5,18272,9590,56.26,48622.35,2.11,8.43,1,35.73,224601.09,4372837.21,-15.12,0
CL10008,Technology,24,Renewed,46719.23,9,6119,701,11.46,3137,7086,83.23,35305.61,2.75,7.67,3,39.19,133185.99,1877654.76,19.98,0
CL10009,Travel,36,Renewed,85462.04,16,656,53,8.08,7742,6962,60.8,56904.59,2.56,6.78,8,7.04,294538.14,3718903.78,-5.26,0
CL10010,Healthcare,24,Pending,89843.57,15,8122,550,6.77,42525,12259,54.13,45066.86,1.56,7.36,7,1.86,313560.76,3113856.9,-15.03,1
CL10011,Finance,18,Pending,10933.47,8,5552,833,15.0,41881,4523,75.2,7222.74,2.65,6.95,1,33.41,25743.09,294139.83,3.44,1
CL10012,Travel,12,Pending,88929.15,13,3667,300,8.18,36151,10550,75.98,54095.13,2.85,7.78,7,15.17,338344.82,8429891.9,15.8,0
CL10013,Finance,36,Not Renewed,47590.31,18,3999,296,7.4,34472,8259,70.41,24848.92,2.71,7.76,3,30.42,173805.72,4138860.29,5.31,0
CL10014,Finance,24,Renewed,53491.09,18,6577,1031,15.68,17428,2173,93.14,42076.43,2.83,7.35,1,8.08,103498.99,932354.2,21.92,0
CL10015,Retail,6,Renewed,64526.29,11,7600,1187,15.62,29242,17185,95.0,29321.48,3.15,6.16,10,23.04,134446.71,1676852.96,11.64,0
CL10016,Technology,6,Renewed,93006.35,20,1116,90,8.06,12331,10211,64.01,53464.82,3.04,6.38,9,24.71,268371.38,5455994.89,0.36,1
CL10017,Education,12,Pending,6816.03,15,6570,1012,15.4,48732,6925,95.0,3101.55,3.65,6.34,6,28.5,18960.6,286263.59,28.98,0
CL10018,Retail,24,Not Renewed,50300.13,12,2162,339,15.68,20056,10752,85.63,24566.72,3.14,7.13,5,25.12,166479.42,4347025.92,0.02,0
